Time [s] 	 CH1 	 BGND1 	 CH2 	 BGND2 
8.523	10936	5924	7522	6709
8.545	2652	2730	6233	6154
8.566	10533	5991	6920	6660
8.588	2756	2724	6247	6081
8.61	10002	6015	7025	6855
8.632	2834	2693	6158	6026
8.653	10772	5948	7418	6678
8.675	2715	2699	6537	6276
8.697	10396	5882	7003	6556
8.719	2781	2724	6117	6112
8.74	10562	5955	7201	6751
8.762	2758	2706	6268	6099
8.784	9268	5973	7223	6703
8.806	2679	2687	6392	5886
8.827	10498	6166	6392	6861
8.849	2846	2736	6384	6051
8.871	10429	5991	7815	6703
8.892	2913	2712	6653	6252
8.914	10719	5731	7213	6831
8.936	2757	2724	5971	6246
8.958	9447	5967	6989	6910
8.979	2765	2724	6028	6276
9.001	10289	6015	7178	6855
9.023	2910	2718	5849	6148
9.045	11542	5991	7349	6617
9.066	2859	2718	6060	6093
9.088	9020	5894	6948	6898
9.11	2752	2736	6276	6380
9.132	9945	5870	7365	6617
9.153	2712	2699	5923	6063
9.175	10143	5973	6830	6654
9.197	2772	2693	5778	6276
9.219	11345	5767	7631	6818
9.24	2599	2693	6560	6136
9.262	10422	6003	6686	6751
9.284	2799	2712	6013	6246
9.306	10886	5846	6626	6788
9.327	2696	2687	6908	6368
9.349	11103	5846	6794	6563
9.371	2833	2730	6542	6203
9.393	9408	5906	8054	6794
9.414	2794	2712	6417	6081
9.436	10139	5924	6622	6703
9.458	2816	2699	6129	6136
9.48	10121	5846	7204	6715
9.501	2758	2718	6503	6026
9.523	11866	5798	6905	6770
9.545	2661	2699	5670	6087
9.566	10640	5882	7186	6971
9.588	2943	2706	6361	6185
9.61	10100	5948	7506	6715
9.632	2869	2712	5875	6099
9.653	11045	5846	7384	6684
9.675	2976	2712	6342	6087
9.697	9294	5737	7750	6666
9.719	2648	2699	6996	6227
9.74	10295	5767	6558	6575
9.762	2766	2742	6385	6026
9.784	10110	5610	7284	6483
9.806	2717	2718	6169	6051
9.827	9702	5876	6758	6812
9.849	2892	2730	6459	5929
9.871	10130	5761	7187	6843
9.893	2664	2699	5975	6191
9.914	9596	5991	7396	6898
9.936	2852	2675	6058	6203
9.958	10451	5870	6428	6666
9.98	2693	2687	6241	6270
10.001	11718	6045	6367	6776
10.023	2822	2687	6301	6154
10.045	10066	6015	7132	6983
10.067	2784	2730	5686	6240
10.088	8563	5846	7399	6806
10.11	3065	2699	6009	6185
10.132	10529	5798	7108	6959
10.154	2875	2736	6678	6069
10.175	9362	5840	7241	6703
10.197	3011	2730	6114	6051
10.219	9786	5864	6891	6703
10.24	2708	2699	5965	6233
10.262	10372	5852	6797	6843
10.284	2748	2730	5656	6221
10.306	10557	5900	6937	6867
10.327	2763	2730	6237	5935
10.349	10142	5967	8752	6855
10.371	2932	2657	6533	5953
10.393	9745	5918	7548	6758
10.414	2766	2724	5584	6264
10.436	9457	5779	7644	6660
10.458	2772	2681	5340	5990
10.48	10066	5894	7901	6879
10.501	2818	2706	5641	6039
10.523	9764	5900	7913	6885
10.545	2894	2724	5935	6032
10.567	10557	5991	7955	6940
10.588	2736	2706	5511	6075
10.61	10309	5828	7099	6544
10.632	2777	2736	6318	6221
10.654	10607	5822	6956	6873
10.675	2711	2712	5472	6215
10.697	10004	5834	7576	6837
10.719	2716	2712	6332	5990
10.741	10674	5840	7316	6770
10.762	2780	2651	6978	6045
10.784	9900	5810	7077	6770
10.806	2874	2712	6464	6447
10.828	9521	5810	6620	6630
10.849	2817	2669	5961	6112
10.871	10915	6099	7227	6721
10.893	2830	2742	5942	6246
10.914	10350	5864	7212	6758
10.936	2946	2699	5813	6039
